country,completion_male
Argentina,97.91143
Armenia,91.53127
Austria,100.63802
Azerbaijan,91.68856
Bahamas,99.76959
Barbados,92.61939
Belarus,95.96147
Belgium,88.84928
Belize,102.6911
Bhutan,72.70079
Bolivia,102.67834
Botswana,94.11288
Brunei,113.7737
Bulgaria,97.95108
Burkina Faso,34.483
Cambodia,90.30289
Cameroon,57.14797
Canada,95.98202
Cape Verde,96.34757
Chad,42.08027
Colombia,107.91535
"Congo, Rep.",81.12426
Costa Rica,88.92221
Cote d'Ivoire,56.43557
Croatia,97.06999
Cuba,90.47517
Cyprus,100.89286
Denmark,101.64599
Ecuador,105.77417
Egypt,93.79192
El Salvador,83.95199
Eritrea,56.33664
Estonia,102.08279
Ethiopia,52.8414
Fiji,110.92981
Finland,97.059
Gambia,65.99393
Georgia,84.42441
Germany,98.70083
Ghana,73.04938
Greece,103.61986
Guatemala,80.619
Guinea,72.87478
Guyana,103.4659
Honduras,86.41905
"Hong Kong, China",101.1414
Hungary,99.28682
Iceland,97.52724
India,89.25894
Indonesia,95.73894
Iran,100.14115
Israel,102.19921
Italy,99.32794
Jordan,101.46418
Kazakhstan,103.07784
Kuwait,102.79057
Latvia,93.00693
Lebanon,82.9449
Lesotho,62.49486
Lithuania,92.97615
"Macao, China",100.37605
"Macedonia, FYR",94.28383
Madagascar,58.29241
Malawi,58.20969
Maldives,133.17733
Mali,53.49708
Mauritania,45.37206
Mauritius,90.66097
Mexico,100.07284
Moldova,98.39621
Mongolia,109.77474
Morocco,87.47829
Mozambique,48.45195
Namibia,77.91099
Nicaragua,72.12001
Niger,38.48075
Nigeria,101.28439
Norway,96.74694
Pakistan,69.14668
Panama,93.66881
Paraguay,93.51928
Peru,101.99261
Philippines,88.42144
Qatar,89.97718
Romania,100.24916
Senegal,52.71254
Slovak Republic,91.53316
Spain,97.94532
Sri Lanka,103.21631
Suriname,83.55954
Swaziland,64.31763
Sweden,95.98507
Switzerland,92.42555
Syria,107.021
Tajikistan,108.50036
Tanzania,73.84133
Togo,87.66729
Turkey,99.3479
Ukraine,105.24323
United Arab Emirates,98.03661
United States,97.3215
Uruguay,98.52292
Uzbekistan,100.15548
Venezuela,93.03273
Zambia,94.04398
